Name,Latitude,Longitude,Date,Prism_precipitation,date,Wunderground_precipitation_data,station_name
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Amado
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Empire
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.0,Tucson
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-05-28,0.0,2024-05-28,0.08,Vail
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Amado
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Empire
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.0,Tucson
Florida Station - KAZGREEN15,31.76,-110.85,2024-05-28,0.0,2024-05-28,0.08,Vail
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Amado
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Empire
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.0,Tucson
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-05-28,0.0,2024-05-28,0.08,Vail
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Amado
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Empire
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.0,Tucson
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-05-28,0.0,2024-05-28,0.08,Vail
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Amado
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Empire
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.0,Tucson
Quintas - KAZSAHUA55,31.94,-110.99,2024-05-28,0.0,2024-05-28,0.08,Vail
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Amado
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Empire
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Florida Station
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Green Valley
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Rancho Sahuarita
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Sahuarita
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Sonoita
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.0,Tucson
Elephant Head - KAZAMADO2,31.74,-111.01,2024-05-28,0.0,2024-05-28,0.08,Vail
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-05-28,0.0,2024-05-28,0.0,Amado
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-05-28,0.0,2024-05-28,0.0,Elephant Head
